bill_id,entity,entity_type,n
1381712,diagnostic,ORG,1
1381712,dsm,ORG,1
1381712,health_and_safety_code,ORG,3
1381712,morbidity_review_committee,ORG,2
1381712,texas,GPE,2
1381712,the_american_psychiatric_association,ORG,1
1381712,the_health_and_human_services_commission,ORG,2
1381712,the_health_care_services,ORG,1
1381719,"5419_architectural_,_engineering",ORG,1
1381719,"6223_offices_of_physicians_,_offices_of_mental_health_practitioners",ORG,1
1381719,air_force,ORG,1
1381719,"armed_forces_,_army",ORG,1
1381719,computer_system_design_and_related_services,ORG,1
1381719,diagnostic_laboratories,ORG,1
1381719,general_medical_and_surgical_hospitals,ORG,1
1381719,insurance_carriers_and_related_activities,ORG,1
1381719,"management_,_scientific",ORG,1
1381719,marine_corps,ORG,1
1381719,medical,ORG,1
1381719,national_security,ORG,1
1381719,navy,ORG,1
1381719,north_american_industry_classification_system,ORG,1
1381719,other_financial_investments_and,ORG,1
1381719,outpatient_care_centers,ORG,1
1381719,psychiatric_and,ORG,1
1381719,related_activities,ORG,1
1381719,related_services,ORG,1
1381719,scientific_research_and_development_services,ORG,1
1381719,specialty_hospitals_922140_correctional_institutions,ORG,1
1381719,technical_consulting_services,ORG,1
1381719,technical_services_551_management_of_companies_and,ORG,1
1381719,the_north_american_industry_classification_system,ORG,1
1381719,transportation_and_warehousing,ORG,1
1381719,utilities,ORG,1
1381740,civil_practice_and_remedies,ORG,1
1381740,health_and_safety_code,ORG,1
1381740,thompson_of_harris_h.b.,ORG,1
1381787,america,GPE,2
1381787,diagnostic,ORG,1
1381787,health_and_safety_code,ORG,1
1381787,subchapter_l,ORG,1
1381787,subdivision,ORG,1
1381787,the_american_psychiatric_association,ORG,1
1381787,the_department_of_public_safety_of_the_state_of_texas,ORG,1
1381787,the_public_safety_commission,ORG,1
1381787,the_texas_department_of_transportation,ORG,1
1381827,medicaid,ORG,2
1381827,on_-_campus_mental_health_services,ORG,1
1381827,texas_constitution,ORG,1
1381827,the_health_and_human_services_commission,ORG,1
1382012,sections,ORG,1
1382012,the_texas_workforce_commission,ORG,1
1382054,adm,ORG,1
1382054,the_texas_department_of_criminal_justice,ORG,1
1382096,health_care_provider_section_3,ORG,1
1382096,kkr,ORG,1
1382096,mental_health_provider_sec,ORG,1
1382140,subdivision,ORG,1
1382140,the_department_of_family_and_protective_services,ORG,1
1382156,subdivision,ORG,1
1382156,the_department_of_family_and_protective_services,ORG,1
1382156,thompson_of_harris_h.b._no,ORG,1
1382260,health_care_provider_section_3,ORG,1
1382260,kkr,ORG,1
1382260,mental_health_provider_sec,ORG,1
1382314,criminal_justice_mental_health_service,ORG,1
1382314,fort_bend_county,GPE,6
1382314,fort_bend_county_sec,GPE,1
1382314,gcb,ORG,1
1382314,health_and_safety_code,ORG,1
1382314,house_of_representatives,ORG,1
1382314,texas_constitution,ORG,1
1382314,the_fort_bend_county_commissioners_court,ORG,1
1382314,the_fort_bend_county_mental_health_public_defender_'s_office,ORG,1
1382314,the_health_and_human_services_commission,ORG,1
1382390,firearm,ORG,2
1382390,health_and_safety_code,ORG,1
1382390,section_181.001,ORG,1
1382390,subdivision,ORG,1
1382390,the_department_of_public_safety_of_the_state_of_texas,ORG,1
1382390,the_health_insurance_portability_and_accountability_act,ORG,1
1382390,the_texas_department_of_public_safety,ORG,1
1382399,diagnostic,ORG,2
1382399,dsm,ORG,1
1382399,subdivision,ORG,1
1382399,the_american_psychiatric_association,ORG,2
1382447,medicaid,ORG,1
1382447,texas_constitution,ORG,1
1382447,the_centers_for_disease_control_and_prevention,ORG,1
1382447,the_department_of_state_health_services,ORG,7
1382447,the_health_and_human_services_commission,ORG,3
1382447,the_youth_risk_behavior_survey,ORG,1
1382447,thompson_of_harris_h.b.,ORG,1
1382487,medicaid,ORG,1
1382487,texas_constitution,ORG,1
1382487,the_centers_for_disease_control_and_prevention,ORG,1
1382487,the_department_of_state_health_services,ORG,7
1382487,the_health_and_human_services_commission,ORG,3
1382487,the_youth_risk_behavior_survey,ORG,1
1382508,civil_practice_and_remedies,ORG,1
1382508,health_and_safety_code,ORG,1
1382508,thompson_of_harris_h.b._no_.,ORG,1
1382752,health_care_provider_section_3,ORG,1
1382752,israel,GPE,1
1382752,kkr,ORG,1
1382752,mental_health_provider_sec,ORG,1
1382755,d)(8)-(12,ORG,1
1382755,subdivision,ORG,1
1382755,the_department_of_family_and_protective_services,ORG,5
1382765,the_department_of_family_and_protective_services,ORG,2
1382765,the_fostering_connections_to,ORG,1
1382846,cxp,ORG,1
1382846,texas_constitution,ORG,1
1382846,the_national_suicide_prevention_lifeline,ORG,1
1382913,ferpa,ORG,1
1382913,georgia,GPE,3
