domain,ngram,count
social_community,substance abuse,612
economic_stability,human services,508
healthcare_access,developmental disabilities,369
social_community,family services,260
social_community,suicide prevention,251
healthcare_access,managed care,215
social_community,peer support,135
education_access,child care,83
healthcare_access,crisis response,83
education_access,day care,58
economic_stability,child welfare,54
economic_stability,financial assistance,54
social_community,social support,43
healthcare_access,loan repayment,41
education_access,job training,36
healthcare_access,health systems,35
economic_stability,safety net,32
social_community,drug court,30
social_community,violence prevention,30
discrimination_equity,health equity,25
discrimination_equity,human rights,25
education_access,scholarship program,22
discrimination_equity,health disparities,21
discrimination_equity,sickle cell,20
discrimination_equity,medical cannabis,15
education_access,workforce training,13
social_community,community safety,9
social_community,lived experiences,9
discrimination_equity,systemic barriers,7
discrimination_equity,health inequities,6
neighborhood_environment,air quality,6
economic_stability,housing instability,5
economic_stability,food insecurity,2
social_community,housing crisis,2
economic_stability,food security,1
neighborhood_environment,built environment,1
