party_control_type,domain,n_bills,n_mentioned,share_mentioned
Democratic,economic_stability,2139,665,0.31089294062646095
Democratic,education_access,2139,906,0.423562412342216
Democratic,healthcare_access,2139,902,0.4216923796166433
Democratic,neighborhood_environment,2139,470,0.21972884525479197
Democratic,social_community,2139,1086,0.5077138849929874
Democratic,discrimination_equity,2139,261,0.12201963534361851
Republican,economic_stability,779,267,0.3427471116816431
Republican,education_access,779,322,0.41335044929396664
Republican,healthcare_access,779,296,0.37997432605905007
Republican,neighborhood_environment,779,170,0.21822849807445444
Republican,social_community,779,375,0.4813863928112965
Republican,discrimination_equity,779,40,0.051347881899871634
Divided,economic_stability,251,113,0.450199203187251
Divided,education_access,251,124,0.4940239043824701
Divided,healthcare_access,251,98,0.3904382470119522
Divided,neighborhood_environment,251,42,0.16733067729083664
Divided,social_community,251,110,0.43824701195219123
Divided,discrimination_equity,251,15,0.05976095617529881
