domain_group,token,n,tf,idf,tf_idf
high,"0,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.005,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.03,2,9.268944447971793e-7,0,0
high,0.05,9,4.171025001587307e-6,0.6931471805599453,2.891134219895283e-6
high,0.1,25,1.1586180559964741e-5,0,0
high,0.10,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.13,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.138,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,0.15,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,0.176,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0.2,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,0.26,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,0.27,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,0.3,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,0.484,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.5,11,5.097919446384486e-6,0.6931471805599453,3.533608490983124e-6
high,0.50,82,3.800267223668435e-5,0.6931471805599453,2.6341445114601465e-5
high,0.63,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.70,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.75,30,1.390341667195769e-5,0.6931471805599453,9.63711406631761e-6
high,0.8,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,0.80,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,0.88,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,00015a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00076c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0011.4,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00203c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00335a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00351a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00370c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00389a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00424a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00489a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00490a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00534c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00562c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00601a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00626c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00655a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00671b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00694a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00740a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00764a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00907b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00964c,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,00971a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0106.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01085d,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01130b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01176a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01202b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01240a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01289b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01321b,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0146.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01661a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,01740a,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0178.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0195.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,02.010,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,02.100,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,02.130,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0207.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0235.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0246.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0247.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0268.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0269.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0293.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0299.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0314.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0374.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0376.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0383.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,04.080,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,04.110,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0405.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0408.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0417.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0428.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0444.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0478.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0522.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0527.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0554.3,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0555.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0601.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0605.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0640.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0641.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0696.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0706.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0716.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0738.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0753.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0843.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,0958.1,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,000",84,3.892956668148153e-5,0,0
high,"1,000,000",114,5.2832983353439216e-5,0,0
high,"1,000,000,000",6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,"1,000.00",1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,"1,014,735,000",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,022.48",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,033,000,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,054,800",4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,"1,060.48",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,069.48",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,076,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,1",52,2.4099255564726663e-5,0.6931471805599453,1.670433104828386e-5
high,"1,100",3,1.390341667195769e-6,0.6931471805599453,9.63711406631761e-7
high,"1,100,000",2,9.268944447971793e-7,0,0
high,"1,107.48",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,"1,117,000",2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
