domain_group,entity_type,entity,total_mentions,n_bills
high,GPE,.68,2,2
high,GPE,16_states,2,2
high,GPE,18022(b,1,1
high,GPE,18_county,1,1
high,GPE,1_illinois,1,1
high,GPE,1_ny,1,1
high,GPE,1_states,2,2
high,GPE,1_united_states,3,3
high,GPE,2517,5,5
high,GPE,2972_united_states,1,1
high,GPE,2_illinois,2,2
high,GPE,356z.30,1,1
high,GPE,356z.34,1,1
high,GPE,356z.40,1,1
high,GPE,356z.41,1,1
high,GPE,394.461,1,1
high,GPE,397.693,1,1
high,GPE,3_united_states,2,2
high,GPE,42_jersey,2,2
high,GPE,42_uu,2,2
high,GPE,4509_.,2,1
high,GPE,48.43.537,2,2
high,GPE,49_states,2,2
high,GPE,4_additionally,2,2
high,GPE,4_illinois,3,3
high,GPE,5.70.060,1,1
high,GPE,5322,1,1
high,GPE,7_illinois,2,2
high,GPE,8)_county,2,2
high,GPE,813.127,4,4
high,GPE,82.04.298,1,1
high,GPE,82.25.005,1,1
high,GPE,8_illinois,2,2
high,GPE,8_york,1,1
high,GPE,9_county,1,1
high,GPE,a_united_states_depart,1,1
high,GPE,afghanistan,2,2
high,GPE,al_l_states,1,1
high,GPE,alabama,5,3
high,GPE,alaska,50,17
high,GPE,alaska_native,1,1
high,GPE,alaska_natives,6,4
high,GPE,albany,12,8
high,GPE,alcoholics_anonymous,1,1
high,GPE,allegheny,1,1
high,GPE,alton,5,5
high,GPE,america,17,4
high,GPE,amsterdam,2,2
high,GPE,another_united_states,4,4
high,GPE,antioch,1,1
high,GPE,arambula,1,1
high,GPE,arizona,3,3
high,GPE,athens,1,1
high,GPE,atlanta,1,1
high,GPE,auburn,4,2
high,GPE,austin,3,3
high,GPE,b._city,2,2
high,GPE,b._located,1,1
high,GPE,batavia,4,2
high,GPE,bb,93,28
high,GPE,belleville,10,5
high,GPE,bellevue,2,2
high,GPE,beverly,1,1
high,GPE,bexar_county,18,3
high,GPE,black,2,1
high,GPE,blackshear,3,3
high,GPE,blair,1,1
high,GPE,bloomington,7,6
high,GPE,boces,6,4
high,GPE,bonta,1,1
high,GPE,boone,1,1
high,GPE,bradford,3,3
high,GPE,bronx,6,4
high,GPE,brooklyn,16,4
high,GPE,buckeye,2,2
high,GPE,buffalo,6,4
high,GPE,c)(11,6,6
high,GPE,c.s.,4,1
high,GPE,cadiz,2,2
high,GPE,california,140,39
high,GPE,cambodia,4,2
high,GPE,cambria,1,1
high,GPE,canada,32,18
high,GPE,canton,2,2
high,GPE,catskill,2,2
high,GPE,centralia,5,5
high,GPE,chautauqua,4,2
high,GPE,chester,3,3
high,GPE,chicago,88,22
high,GPE,china,4,2
high,GPE,cincinnati,8,2
high,GPE,circleville,2,1
high,GPE,clarion,1,1
high,GPE,clearfield,1,1
high,GPE,cleveland,13,2
high,GPE,clinton_county,4,2
high,GPE,cna,12,2
high,GPE,colorado,6,4
high,GPE,colton,1,1
high,GPE,columbia,1,1
high,GPE,columbus,9,2
high,GPE,compact_states,12,3
high,GPE,connecticut,3,3
high,GPE,continuum,4,4
high,GPE,conway,1,1
high,GPE,cook,4,4
high,GPE,cook_county,12,9
high,GPE,cook_county_'s,1,1
high,GPE,costa,12,12
high,GPE,county,29,6
high,GPE,covid-19,1,1
high,GPE,crawford,1,1
high,GPE,crawley,1,1
high,GPE,cumberland,1,1
high,GPE,cutrona,1,1
high,GPE,cuyahoga,4,2
high,GPE,cuyahoga_heights,2,2
high,GPE,d)(4,6,2
high,GPE,d._compact_states,1,1
high,GPE,dade,2,2
high,GPE,dallas,3,3
high,GPE,danville,7,5
high,GPE,darneille,1,1
high,GPE,dauphin,1,1
high,GPE,dayton,1,1
high,GPE,decatur,11,6
high,GPE,dekalb,1,1
high,GPE,delaware,1,1
high,GPE,designat,1,1
high,GPE,dinitro,1,1
high,GPE,distant_states,4,3
high,GPE,dixon,5,5
high,GPE,doa,4,4
high,GPE,dol,2,2
high,GPE,dupage,7,7
high,GPE,dupage_county,2,2
high,GPE,dutchess,2,2
high,GPE,dutchess_county,2,2
high,GPE,duval_county,4,2
high,GPE,e._member_states,2,2
high,GPE,east_st._8_louis,1,1
high,GPE,east_st._9,1,1
high,GPE,east_st._louis,5,5
high,GPE,ei,1,1
high,GPE,el,1,1
high,GPE,el_paso,1,1
high,GPE,elk,1,1
high,GPE,england,1,1
high,GPE,erie,9,7
high,GPE,erie_county,4,2
high,GPE,establishment.--the_county,4,2
high,GPE,evanston,2,2
high,GPE,f.s.,819,93
high,GPE,fairfield,4,2
high,GPE,fayette,1,1
high,GPE,fl,1,1
high,GPE,flagler,8,2
high,GPE,florida,1116,101
high,GPE,florida_statutes,48,27
high,GPE,fontana,10,10
high,GPE,forest,1,1
high,GPE,fort_bend_county,6,1
high,GPE,fort_bend_county_sec,1,1
high,GPE,fort_worth,1,1
high,GPE,franklin,3,2
high,GPE,"franklin_county_,_inc_.",2,2
high,GPE,freeport,2,2
high,GPE,fulton,1,1
high,GPE,galveston,1,1
high,GPE,geneva,2,2
high,GPE,georgia,209,36
high,GPE,grandview_heights,2,2
high,GPE,granite_city,5,5
high,GPE,greene,1,1
high,GPE,grove_city,4,2
high,GPE,guam,4,2
high,GPE,gymnasiums,1,1
high,GPE,h.b._110,1,1
high,GPE,haloalkyl,4,2
high,GPE,hamilton_county,2,2
high,GPE,handbook,2,2
high,GPE,harborview,1,1
high,GPE,hawaii,4,2
high,GPE,haywood,2,2
