entity,high,low,ratio_high_to_low
the_illinois_department,488,1,488
the_nursing_home_care_act,248,2,124
the_internal_revenue_code,111,1,111
the_department_of_children,87,1,87
the_substance_use_disorder_act,72,1,72
medicare,329,5,65.8
the_department_of_public_health,442,7,63.14
medicaid,1737,28,62.04
the_mc_/_dd_act,61,1,61
the_department_of_healthcare,60,1,60
the_department_of_healthcare_and_family_services,165,3,55
medi_-_cal,208,4,52
the_department_of_revenue,90,2,45
the_health_care_service,45,1,45
the_american_society_of_addiction_medicine,39,1,39
the_health_care_authority,39,1,39
the_illinois_controlled_substances_act,77,2,38.5
ems,74,2,37
healthcare,107,3,35.67
mhsa,102,3,34
partnership,33,1,33
the_department_of_community_health,33,1,33
the_department_of_human_services,453,15,30.2
fda,57,2,28.5
optometry,27,1,27
the_department_of_agriculture,51,2,25.5
the_illinois_state_police,315,13,24.23
state_board_of_education,24,1,24
the_texas_civil_commitment_office,24,1,24
gpr,94,4,23.5
the_102nd_general_assembly,70,3,23.33
the_university_of_washington,23,1,23
the_illinois_vehicle_code,22,1,22
the_office_of_attorney_general,21,1,21
the_office_of_emergency_services,20,1,20
the_department_of_juvenile_justice,78,4,19.5
court,172,9,19.11
the_6_department,19,1,19
the_22_department,18,1,18
the_13_department,34,2,17
the_state_comptroller,34,2,17
bms,50,3,16.67
the_2_department,33,2,16.5
the_illinois_public_aid_code,162,10,16.2
u.s.c.,145,9,16.11
hospice,16,1,16
mental_health_services,16,1,16
the_91st_general_assembly,16,1,16
the_mental_health_services_oversight_and_accountability_commission,32,2,16
the_state_department_of_social_services,47,3,15.67
the_17_department,15,1,15
the_illinois_administrative_procedure_act,45,3,15
iv,58,4,14.5
social_security_act,14,1,14
the_state_board_of_pharmacy,42,3,14
human_services,40,3,13.33
sections,52,4,13
"the_controlled_substance_,_drug_,_device_and_cosmetic_act",26,2,13
the_department_of_children_and_family_services,78,6,13
lgbtq,25,2,12.5
illinois_state_police,62,5,12.4
rps,62,5,12.4
develop,24,2,12
education,24,2,12
the_134th_general_assembly,12,1,12
the_illinois_administrative_code,12,1,12
the_illinois_department_of_public_health,12,1,12
the_united_states_food_and_drug_administration,35,3,11.67
guardian,11,1,11
veterans_'_affairs,11,1,11
division,32,3,10.67
the_state_treasury,32,3,10.67
the_14_department,21,2,10.5
the_mental_health_services_fund,21,2,10.5
the_department_of_health,376,36,10.44
c-5,20,2,10
fbi,20,2,10
neilson,10,1,10
the_california_behavioral_health_planning_council,10,1,10
the_liquor_control_act,10,1,10
the_world_health_organization,10,1,10
the_department_of_financial,29,3,9.67
the_national_suicide_prevention_lifeline,29,3,9.67
cfr,77,8,9.62
the_department_of_insurance,48,5,9.6
s._394.455,19,2,9.5
kmf,47,5,9.4
the_legislature_of_the_state_of,37,4,9.25
the_agency_for_health_care_administration,27,3,9
the_department_5,9,1,9
the_organized_militia,9,1,9
firearm_owner_'s,107,12,8.92
the_federal_bureau_of_investigation,61,7,8.71
the_state_board,112,13,8.62
the_state_of_illinois,69,8,8.62
the_19_department,25,3,8.33
sbirt,16,2,8
the_civil_administrative_code,8,1,8
the_county_behavioral_health_directors_association_of_california,16,2,8
the_department_of_financial_services,8,1,8
the_general_fund,16,2,8
the_health_care_provider,8,1,8
the_legislature_of_the_state_of_washington,40,5,8
the_office_of_children,16,2,8
the_rights_of_crime_victims,8,1,8
the_superintendent_of_public_instruction,8,1,8
food_and_drug_administration,46,6,7.67
the_9_department,23,3,7.67
the_pennsylvania_state_police,61,8,7.62
