domain_group,entity_type,entity,total_mentions,n_bills
high,GPE,new_york,1372,172
high,GPE,illinois,1310,183
high,GPE,florida,1116,101
high,GPE,the_united_states,1033,216
high,GPE,f.s.,819,93
high,GPE,washington,561,78
high,GPE,ohio,525,22
high,GPE,united_states,385,106
high,GPE,georgia,209,36
high,GPE,california,140,39
high,GPE,bb,93,28
high,GPE,chicago,88,22
high,GPE,the_district_of_columbia,78,29
high,GPE,wisconsin,78,31
high,GPE,pa.,76,11
high,GPE,the_state_of_california,73,72
high,GPE,u.s.,64,39
high,GPE,the_state_of_illinois,55,33
high,GPE,alaska,50,17
high,GPE,florida_statutes,48,27
low,GPE,new_york,800,491
low,GPE,florida,133,52
low,GPE,georgia,111,35
low,GPE,the_state_of_california,97,96
low,GPE,illinois,91,31
low,GPE,f.s.,71,50
low,GPE,the_united_states,55,36
low,GPE,albany,44,12
low,GPE,wisconsin,40,40
low,GPE,no.14,28,14
low,GPE,washington,26,12
low,GPE,bb,25,12
low,GPE,buffalo,23,10
low,GPE,united_states,22,14
low,GPE,california,20,14
low,GPE,ohio,16,3
low,GPE,pa.,16,8
low,GPE,pennsylvania,16,9
low,GPE,jackson,14,14
low,GPE,florida_statutes,13,8
