bill_id,topic,gamma,topic_label,is_artifact
1381712,16,0.5901513887127895,Insurance & Medicaid Coverage,FALSE
1381719,4,0.8215026070508503,General Regulatory Procedures,FALSE
1381740,18,2.462388821461516e-4,Education & Community,FALSE
1381785,10,0.45753240589833233,Workforce Licensing,FALSE
1381787,16,0.4344857322469712,Insurance & Medicaid Coverage,FALSE
1381827,18,0.8603353602529921,Education & Community,FALSE
1382012,16,0.5638738715369696,Insurance & Medicaid Coverage,FALSE
1382054,10,0.6627153713135665,Workforce Licensing,FALSE
1382080,10,0.9938766936002874,Workforce Licensing,FALSE
1382096,1,0.32302519371073285,Involuntary & Inpatient Treatment,FALSE
1382140,16,0.7032908373267107,Insurance & Medicaid Coverage,FALSE
1382156,16,0.70672421889137,Insurance & Medicaid Coverage,FALSE
1382260,1,0.3150855544695256,Involuntary & Inpatient Treatment,FALSE
1382314,18,0.8192734218915884,Education & Community,FALSE
1382390,19,0.5902833014031298,Criminal Justice,FALSE
1382399,16,0.995321461239224,Insurance & Medicaid Coverage,FALSE
1382447,18,0.8470908546160739,Education & Community,FALSE
1382487,18,0.8393736858244497,Education & Community,FALSE
1382508,10,2.487911075761167e-4,Workforce Licensing,FALSE
1382752,1,0.3150632660855851,Involuntary & Inpatient Treatment,FALSE
1382755,18,0.6278307427417089,Education & Community,FALSE
1382765,18,0.7820826067896035,Education & Community,FALSE
1382846,18,0.7438579232533529,Education & Community,FALSE
1382913,18,0.9224182145966456,Education & Community,FALSE
1383008,10,0.871902496275067,Workforce Licensing,FALSE
1383817,10,0.9947866492659326,Workforce Licensing,FALSE
1383947,16,0.9950146049667774,Insurance & Medicaid Coverage,FALSE
1384337,18,0.28387571234559167,Education & Community,FALSE
1384904,18,4.1208934390619446e-5,Education & Community,FALSE
1384905,12,9.621362987812462e-5,Budget & Fiscal Provisions,FALSE
1385406,18,0.38341736941947807,Education & Community,FALSE
1385419,16,0.1432994118395453,Insurance & Medicaid Coverage,FALSE
1385566,18,0.4856259543912194,Education & Community,FALSE
1385577,4,0.11416430532190168,General Regulatory Procedures,FALSE
1385841,9,0.65419876320910475,Advisory Bodies & Task Forces,FALSE
1385863,18,0.40534842433445273,Education & Community,FALSE
1387032,4,0.6682003643170695,General Regulatory Procedures,FALSE
1387138,18,0.9072243049180572,Education & Community,FALSE
1387863,18,4.099777980136538e-5,Education & Community,FALSE
1388086,16,0.8583686970611757,Insurance & Medicaid Coverage,FALSE
1388894,9,0.19262064294245196,Advisory Bodies & Task Forces,FALSE
1389087,19,0.3468861305897189,Criminal Justice,FALSE
1389370,16,7.935525496749906e-5,Insurance & Medicaid Coverage,FALSE
1389529,18,2.254260672404408e-4,Education & Community,FALSE
1389535,3,2.623892122749369e-4,Maternal & Prenatal Health,FALSE
1389550,8,6.008655959310829e-5,Healthcare Facilities & Licensing,FALSE
1389625,4,6.342046766191073e-5,General Regulatory Procedures,FALSE
1389708,18,0.3717698247670363,Education & Community,FALSE
1389825,12,0.34552947189756517,Budget & Fiscal Provisions,FALSE
1389862,4,0.12887297400157915,General Regulatory Procedures,FALSE
1389891,18,0.32294873642142763,Education & Community,FALSE
1389937,2,2.3888700964388808e-4,Drug Crime & Penalties,FALSE
1390036,18,4.1045408893909294e-4,Education & Community,FALSE
1390167,18,0.8710349759386159,Education & Community,FALSE
1390218,12,0.3700878896619101,Budget & Fiscal Provisions,FALSE
1390274,18,0.2374087701900744,Education & Community,FALSE
1390297,15,0.7549452842378999,Corporate & Regulatory,FALSE
1390362,9,0.06531707339432803,Advisory Bodies & Task Forces,FALSE
1390453,4,0.6806221203223186,General Regulatory Procedures,FALSE
1390645,19,0.47789560141793014,Criminal Justice,FALSE
1390650,18,0.186883379082058,Education & Community,FALSE
1390756,19,0.39016746157811005,Criminal Justice,FALSE
1390852,3,0.5726820375054867,Maternal & Prenatal Health,FALSE
1390856,8,7.90937707271435e-5,Healthcare Facilities & Licensing,FALSE
1390883,10,0.69189971575679865,Workforce Licensing,FALSE
1390961,18,0.2646646336793486,Education & Community,FALSE
1390996,9,3.3580526261522113e-4,Advisory Bodies & Task Forces,FALSE
1391095,12,0.4911353111940077,Budget & Fiscal Provisions,FALSE
1391104,19,0.20350560002779705,Criminal Justice,FALSE
1391110,16,3.13851486102065e-4,Insurance & Medicaid Coverage,FALSE
1391162,18,4.405901813916072e-4,Education & Community,FALSE
1391224,3,0.02996775858473157,Maternal & Prenatal Health,FALSE
1391241,12,0.34052315093316293,Budget & Fiscal Provisions,FALSE
1391261,12,0.2267721121561979,Budget & Fiscal Provisions,FALSE
1391365,16,0.3846594040058408,Insurance & Medicaid Coverage,FALSE
1391468,16,0.3858409113618141,Insurance & Medicaid Coverage,FALSE
1391482,13,0.4024925920004519,Licensing & Privacy Records,FALSE
1391656,19,0.58999347030711,Criminal Justice,FALSE
1391810,10,5.277780823058392e-4,Workforce Licensing,FALSE
1391853,10,0.9970477467944254,Workforce Licensing,FALSE
1392073,9,0.5885612614282668,Advisory Bodies & Task Forces,FALSE
1392149,9,0.5941300584103765,Advisory Bodies & Task Forces,FALSE
1392188,8,6.968003418832009e-5,Healthcare Facilities & Licensing,FALSE
1392217,19,0.3883577636592336,Criminal Justice,FALSE
