topic,topic_label,high_mean_gamma,corpus_mean_gamma,domain,gamma_diff
1,Involuntary & Inpatient Treatment,0.09054447617866589,0.03686942743218544,neighborhood_environment,0.05367504874648044
2,Drug Crime & Penalties,0.014225977650050596,0.005555602207165913,neighborhood_environment,0.008670375442884683
3,Maternal & Prenatal Health,0.02955320212293568,0.011553516232307078,neighborhood_environment,0.0179996858906286
4,General Regulatory Procedures,0.03761271388088701,0.017590818418221327,neighborhood_environment,0.02002189546266568
8,Healthcare Facilities & Licensing,0.012732385105705256,0.0040710711854848895,neighborhood_environment,0.008661313920220366
9,Advisory Bodies & Task Forces,0.10616365321444177,0.06611970565127166,neighborhood_environment,0.040043947563170104
10,Workforce Licensing,0.0366555332041154,0.05390827865588297,neighborhood_environment,-0.017252745451767568
11,Policy Equity & Conditions,0.016935938565837864,0.01333918674538972,neighborhood_environment,0.003596751820448144
12,Budget & Fiscal Provisions,0.02998966378980818,0.023805524551896,neighborhood_environment,0.006184139237912181
13,Licensing & Privacy Records,0.009365961199232208,0.014515275547470237,neighborhood_environment,-0.005149314348238029
15,Corporate & Regulatory,0.020606760099878448,0.008986821716917507,neighborhood_environment,0.01161993838296094
16,Insurance & Medicaid Coverage,0.02892838381778175,0.06149353247277298,neighborhood_environment,-0.03256514865499123
18,Education & Community,0.1119009080856075,0.11298460737888193,neighborhood_environment,-0.001083699293274426
19,Criminal Justice,0.1145997603618473,0.0607811847425007,neighborhood_environment,0.053818575619346595
1,Involuntary & Inpatient Treatment,0.04602331695200779,0.03686942743218544,education_access,0.009153889519822343
2,Drug Crime & Penalties,0.008692512508044533,0.005555602207165913,education_access,0.0031369103008786203
3,Maternal & Prenatal Health,0.019490783136983204,0.011553516232307078,education_access,0.007937266904676126
4,General Regulatory Procedures,0.021128983191418742,0.017590818418221327,education_access,0.0035381647731974157
8,Healthcare Facilities & Licensing,0.007019822050339105,0.0040710711854848895,education_access,0.002948750864854215
9,Advisory Bodies & Task Forces,0.07204046537449324,0.06611970565127166,education_access,0.0059207597232215775
10,Workforce Licensing,0.06409109484629716,0.05390827865588297,education_access,0.010182816190414189
11,Policy Equity & Conditions,0.02302207498924235,0.01333918674538972,education_access,0.009682888243852631
12,Budget & Fiscal Provisions,0.02000199582030112,0.023805524551896,education_access,-0.003803528731594879
13,Licensing & Privacy Records,0.020664001230506133,0.014515275547470237,education_access,0.006148725683035896
15,Corporate & Regulatory,0.012021871391847848,0.008986821716917507,education_access,0.0030350496749303405
16,Insurance & Medicaid Coverage,0.04652252211837935,0.06149353247277298,education_access,-0.014971010354393625
18,Education & Community,0.17176045600750017,0.11298460737888193,education_access,0.058775848628618246
19,Criminal Justice,0.06296269390102947,0.0607811847425007,education_access,0.0021815091585287716
1,Involuntary & Inpatient Treatment,0.05376378034694492,0.03686942743218544,discrimination_equity,0.016894352914759478
2,Drug Crime & Penalties,0.0010003884327186357,0.005555602207165913,discrimination_equity,-0.004555213774447277
3,Maternal & Prenatal Health,0.05431808061742793,0.011553516232307078,discrimination_equity,0.04276456438512086
4,General Regulatory Procedures,0.033250680693441524,0.017590818418221327,discrimination_equity,0.015659862275220197
8,Healthcare Facilities & Licensing,0.025300746264629238,0.0040710711854848895,discrimination_equity,0.021229675079144347
9,Advisory Bodies & Task Forces,0.14577102066419653,0.06611970565127166,discrimination_equity,0.07965131501292487
10,Workforce Licensing,0.033654405772011904,0.05390827865588297,discrimination_equity,-0.020253872883871066
11,Policy Equity & Conditions,0.06244593025050836,0.01333918674538972,discrimination_equity,0.04910674350511864
12,Budget & Fiscal Provisions,0.023674353013618848,0.023805524551896,discrimination_equity,-1.311715382771514e-4
13,Licensing & Privacy Records,0.011183198008404492,0.014515275547470237,discrimination_equity,-0.0033320775390657444
15,Corporate & Regulatory,0.041277314816611295,0.008986821716917507,discrimination_equity,0.032290493099693784
16,Insurance & Medicaid Coverage,0.048557280254719754,0.06149353247277298,discrimination_equity,-0.012936252218053224
18,Education & Community,0.16539310589459452,0.11298460737888193,discrimination_equity,0.052408498515712595
19,Criminal Justice,0.04701322257311805,0.0607811847425007,discrimination_equity,-0.013767962169382648
