bill_id,topic,gamma,topic_label,is_artifact
1381712,1,1.2279197147400627e-4,Involuntary & Inpatient Treatment,FALSE
1381719,1,1.3678694801048263e-4,Involuntary & Inpatient Treatment,FALSE
1381740,1,2.4623888214603994e-4,Involuntary & Inpatient Treatment,FALSE
1381785,1,2.5955196075770143e-4,Involuntary & Inpatient Treatment,FALSE
1381787,1,0.287758630462667,Involuntary & Inpatient Treatment,FALSE
1381827,1,4.4059018139158544e-4,Involuntary & Inpatient Treatment,FALSE
1382012,1,4.1045408893905565e-4,Involuntary & Inpatient Treatment,FALSE
1382054,1,1.784902648373318e-4,Involuntary & Inpatient Treatment,FALSE
1382080,1,3.2227928419539597e-4,Involuntary & Inpatient Treatment,FALSE
1382096,1,0.32302519371073285,Involuntary & Inpatient Treatment,FALSE
1382140,1,1.3757091691793616e-4,Involuntary & Inpatient Treatment,FALSE
1382156,1,1.367869480103135e-4,Involuntary & Inpatient Treatment,FALSE
1382260,1,0.3150855544695256,Involuntary & Inpatient Treatment,FALSE
1382314,1,0.10630525304744155,Involuntary & Inpatient Treatment,FALSE
1382390,1,9.69911763750993e-5,Involuntary & Inpatient Treatment,FALSE
1382399,1,2.462388821460871e-4,Involuntary & Inpatient Treatment,FALSE
1382447,1,2.8753430088214785e-4,Involuntary & Inpatient Treatment,FALSE
1382487,1,2.9102040739308407e-4,Involuntary & Inpatient Treatment,FALSE
1382508,1,2.487911075758722e-4,Involuntary & Inpatient Treatment,FALSE
1382752,1,0.3150632660855851,Involuntary & Inpatient Treatment,FALSE
1382755,1,1.3226456878362935e-4,Involuntary & Inpatient Treatment,FALSE
1382765,1,6.325334302720961e-5,Involuntary & Inpatient Treatment,FALSE
1382846,1,5.650504863817771e-4,Involuntary & Inpatient Treatment,FALSE
1382913,1,1.6846835691590903e-4,Involuntary & Inpatient Treatment,FALSE
1383008,1,4.573809440965366e-4,Involuntary & Inpatient Treatment,FALSE
1383817,1,2.7438688074034144e-4,Involuntary & Inpatient Treatment,FALSE
