feature,phrase,frequency,rank,docfreq
mental_health,mental health,23737,8,2329
health_care,health care,8404,37,976
behavioral_health,behavioral health,6729,51,687
substance_use,substance use,5988,58,713
health_services,health services,5280,72,1038
public_health,public health,4943,81,637
use_disorder,use disorder,4075,111,548
substance_abuse,substance abuse,3047,159,688
mental_illness,mental illness,2982,163,645
united_states,united states,2868,174,592
addiction_services,addiction services,2181,272,224
mental_hygiene,mental hygiene,2181,272,442
school_district,school district,1923,325,335
human_services,human services,1922,326,547
controlled_substance,controlled substance,1806,350,176
managed_care,managed care,1803,351,221
care_services,care services,1705,378,365
developmental_disabilities,developmental disabilities,1697,382,390
suicide_prevention,suicide prevention,1655,395,286
social_services,social services,1638,413,265
emergency_medical,emergency medical,1588,451,233
medical_assistance,medical assistance,1585,453,246
family_services,family services,1425,517,282
task_force,task force,1333,565,121
continuing_education,continuing education,1185,650,160
treatment_facility,treatment facility,1170,662,145
social_worker,social worker,1150,676,297
health_professional,health professional,1125,685,292
health_insurance,health insurance,1116,695,266
pilot_program,pilot program,1108,703,138
care_provider,care provider,1103,707,236
certified_mental,certified mental,1080,723,11
explanation_matter,explanation matter,1060,744,1060
disorder_treatment,disorder treatment,1054,761,216
medical_services,medical services,1046,771,204
health_treatment,health treatment,1043,775,260
enforcement_agency,enforcement agency,1043,775,215
outpatient_treatment,outpatient treatment,1007,806,130
registered_nurse,registered nurse,982,835,205
use_disorders,use disorders,961,855,270
less_restrictive,less restrictive,943,875,87
controlled_substances,controlled substances,940,880,166
care_facility,care facility,937,883,182
mentally_ill,mentally ill,931,890,130
drug_involved,drug involved,894,922,11
higher_education,higher education,891,928,273
enforcement_officer,enforcement officer,885,932,152
clinical_social,clinical social,877,944,227
nurse_practitioner,nurse practitioner,873,946,132
health_crisis,health crisis,853,971,167
physician_assistant,physician assistant,851,976,159
service_provider,service provider,847,978,131
services_provider,services provider,832,994,84
treatment_program,treatment program,823,1007,180
treatment_services,treatment services,814,1021,238
interstate_commission,interstate commission,802,1032,12
care_providers,care providers,799,1035,293
support_services,support services,772,1066,271
juvenile_court,juvenile court,772,1066,77
community_mental,community mental,763,1085,181
court_order,court order,753,1099,186
assistance_program,assistance program,747,1109,163
intellectual_disability,intellectual disability,745,1114,67
care_professional,care professional,733,1143,126
crisis_intervention,crisis intervention,727,1156,150
peace_officer,peace officer,725,1162,173
public_safety,public safety,723,1166,219
social_work,social work,716,1183,175
high_school,high school,716,1183,111
primary_care,primary care,696,1223,166
assisted_outpatient,assisted outpatient,693,1234,27
charter_school,charter school,690,1242,102
nursing_home,nursing home,688,1243,119
health_service,health service,686,1251,220
sexual_orientation,sexual orientation,686,1251,90
second_degree,second degree,675,1280,68
training_program,training program,664,1301,142
gender_identity,gender identity,663,1303,80
licensed_clinical,licensed clinical,661,1304,174
person_licensed,person licensed,650,1326,114
crisis_response,crisis response,636,1358,88
health_professionals,health professionals,633,1364,278
involuntary_treatment,involuntary treatment,627,1380,57
356z_356z,356z 356z,627,1380,10
restrictive_alternative,restrictive alternative,625,1384,45
social_security,social security,622,1391,208
health_facility,health facility,621,1393,162
attorney_general,attorney general,621,1393,145
criminal_procedure,criminal procedure,609,1419,180
criminal_justice,criminal justice,608,1422,215
drug_addiction,drug addiction,606,1428,67
post-traumatic_stress,post-traumatic stress,600,1449,171
child_care,child care,596,1453,89
physical_therapist,physical therapist,596,1453,36
local_government,local government,595,1456,211
home_care,home care,591,1467,80
health_plan,health plan,586,1480,121
family_therapist,family therapist,573,1517,165
treatment_plan,treatment plan,570,1527,137
crisis_responder,crisis responder,570,1527,22
grant_program,grant program,567,1535,139
care_plan,care plan,541,1610,82
physical_therapy,physical therapy,539,1615,50
stress_disorder,stress disorder,536,1624,182
care_facilities,care facilities,535,1631,130
practice_medicine,practice medicine,534,1632,133
developmental_disability,developmental disability,532,1639,174
sexual_assault,sexual assault,531,1645,88
domestic_violence,domestic violence,530,1648,131
abuse_services,abuse services,524,1670,159
eating_disorders,eating disorders,523,1673,69
physical_harm,physical harm,517,1687,88
advanced_practice,advanced practice,515,1697,133
ordered_printed,ordered printed,511,1714,511
identification_card,identification card,509,1724,67
insurance_coverage,insurance coverage,508,1728,111
outpatient_services,outpatient services,507,1733,72
school_districts,school districts,498,1767,205
involuntary_examination,involuntary examination,498,1767,40
clinical_psychologist,clinical psychologist,496,1781,109
medical_necessity,medical necessity,495,1785,100
peer_support,peer support,491,1802,141
circuit_court,circuit court,491,1802,87
regular_session,regular session,488,1813,471
public_school,public school,488,1813,169
mobile_crisis,mobile crisis,486,1823,94
revenue_fund,revenue fund,483,1834,153
states_department,states department,483,1834,177
public_aid,public aid,481,1843,154
good_faith,good faith,479,1851,187
licensed_mental,licensed mental,477,1857,133
serious_harm,serious harm,477,1857,87
national_origin,national origin,476,1861,49
court_finds,court finds,474,1870,124
licensed_physician,licensed physician,470,1891,127
facilities_licensed,facilities licensed,470,1891,73
health_counseling,health counseling,469,1896,90
general_hospital,general hospital,469,1896,54
care_organization,care organization,469,1896,92
another_person,another person,468,1902,192
real_property,real property,468,1902,92
best_practices,best practices,467,1906,222
emergency_services,emergency services,465,1917,118
serious_mental,serious mental,465,1917,131
service_providers,service providers,459,1943,238
social_workers,social workers,458,1947,191
dangerous_drugs,dangerous drugs,457,1952,13
prescriptive_authority,prescriptive authority,455,1964,37
service_plan,service plan,449,1992,87
good_cause,good cause,449,1992,164
care_service,care service,447,2005,74
licensed_professional,licensed professional,447,2005,93
practice_registered,practice registered,438,2044,113
drug_abuse,drug abuse,437,2049,166
use_tax,use tax,437,2049,17
mental_emotional,mental emotional,434,2063,95
professional_counselor,professional counselor,432,2077,91
health_conditions,health conditions,429,2092,200
health_disorder,health disorder,428,2102,101
2023-2024_regular,2023-2024 regular,426,2109,426
involuntary_outpatient,involuntary outpatient,425,2114,31
crisis_stabilization,crisis stabilization,424,2120,103
degree_felony,degree felony,424,2120,10
motor_vehicle,motor vehicle,424,2120,74
sales_tax,sales tax,423,2127,14
mental_disorder,mental disorder,421,2140,68
liability_company,liability company,421,2140,37
treatment_provider,treatment provider,418,2159,81
enforcement_agencies,enforcement agencies,417,2170,187
restraining_order,restraining order,415,2179,20
annual_report,annual report,412,2196,229
competency_restoration,competency restoration,411,2201,17
enforcement_officers,enforcement officers,409,2216,125
administrative_services,administrative services,409,2216,43
health_administrative,health administrative,408,2222,35
home_health,home health,407,2225,49
family_therapy,family therapy,403,2254,82
compact_states,compact states,401,2263,16
receiving_facility,receiving facility,397,2294,55
third_degree,third degree,396,2297,40
advisory_committee,advisory committee,393,2322,108
health_benefit,health benefit,392,2330,67
management_services,management services,390,2342,111
2021-2022_regular,2021-2022 regular,387,2362,387
administrative_procedure,administrative procedure,385,2376,102
health_planning,health planning,385,2376,45
crisis_services,crisis services,385,2376,78
residential_treatment,residential treatment,385,2376,110
inpatient_treatment,inpatient treatment,384,2382,69
crisis_hotline,crisis hotline,382,2392,40
rates_taking,rates taking,382,2392,14
benefit_plan,benefit plan,381,2401,61
