feature,frequency,rank,docfreq,group
health,58455,1,2950,all
services,42082,2,2397,all
mental,32826,3,2643,all
department,32253,4,1891,all
person,25583,5,1332,all
care,23981,6,1626,all
treatment,20966,7,1680,all
program,17816,8,1596,all
court,17482,9,730,all
public,15838,10,1731,all
board,15174,11,843,all
use,14764,12,1501,all
school,14396,13,769,all
licensed,13877,14,1082,all
medical,12664,15,1159,all
substance,12162,16,1206,all
facility,10890,17,861,all
education,10874,18,1275,all
practice,10756,19,698,all
license,10752,20,534,all
order,10741,21,945,all
service,10294,22,1142,all
division,9237,23,438,all
professional,8907,24,983,all
commission,8530,25,606,all
individual,8362,26,1058,all
child,8127,27,596,all
agency,8069,28,960,all
general,8004,29,1644,all
drug,7885,30,618,all
first,7621,31,983,all
behavioral,7561,32,852,all
training,7272,33,947,all
community,7082,34,1133,all
provider,7042,35,734,all
persons,7014,36,1108,all
disorder,6989,37,951,all
county,6857,38,828,all
plan,6807,39,846,all
commissioner,6775,40,788,all
patient,6523,41,624,all
office,6503,42,953,all
certified,6432,43,798,all
physician,6404,44,607,all
applicant,6323,45,397,all
report,6309,46,1094,all
social,6285,47,1026,all
emergency,6071,48,787,all
fund,6005,49,538,all
support,5812,50,1086,all
authority,5807,51,656,all
hospital,5730,52,582,all
family,5711,53,969,all
local,5634,54,1148,all
programs,5588,55,1106,all
application,5575,56,651,all
crisis,5507,57,557,all
clinical,5466,58,668,all
abuse,5424,59,924,all
available,5388,60,1178,all
individuals,5379,61,1085,all
tax,5377,62,204,all
enforcement,5187,63,640,all
compact,4994,64,63,all
criminal,4878,65,680,all
hearing,4847,66,371,all
facilities,4796,67,647,all
system,4712,68,839,all
states,4698,69,678,all
assistance,4677,70,793,all
addiction,4659,71,530,all
officer,4445,72,627,all
committee,4415,73,1656,all
physical,4411,74,766,all
offense,4407,75,289,all
eligible,4398,76,649,all
insurance,4386,77,543,all
provision,4346,78,935,all
records,4322,79,537,all
district,4278,80,563,all
safety,4271,81,959,all
apply,4242,82,982,all
members,4187,83,837,all
home,4176,84,468,all
less,4168,85,690,all
providers,4055,86,858,all
children,3945,87,821,all
certificate,3907,88,363,all
examination,3905,89,401,all
suicide,3884,90,524,all
coverage,3863,91,370,all
make,3852,92,1025,all
provides,3850,93,1146,all
prevention,3836,94,754,all
notice,3794,95,506,all
degree,3792,96,367,all
related,3763,97,983,all
age,3763,97,685,all
director,3757,99,508,all
number,3718,100,871,all
establish,3705,101,998,all
cannabis,3703,102,68,all
organization,3660,103,597,all
day,3653,104,975,all
disability,3635,105,518,all
funds,3632,106,568,all
firearm,3531,107,151,all
violation,3525,108,351,all
felony,3518,109,236,all
work,3506,110,745,all
nurse,3504,111,385,all
fiscal,3491,112,825,all
people,3488,113,2298,all
another,3482,114,677,all
illness,3471,115,757,all
petition,3465,116,239,all
conduct,3433,117,707,all
payment,3413,118,480,all
receive,3402,119,979,all
disorders,3401,120,680,all
involuntary,3379,121,254,all
outpatient,3368,122,342,all
procedures,3362,123,768,all
access,3289,124,856,all
case,3289,124,580,all
grant,3284,126,497,all
center,3251,127,480,all
receiving,3246,128,709,all
registered,3237,129,407,all
contract,3219,130,618,all
set,3215,131,702,all
committed,3191,132,830,all
drugs,3170,133,335,all
minor,3162,134,264,all
defendant,3162,134,183,all
immediately,3160,136,1447,all
certification,3135,137,494,all
hours,3133,138,602,all
psychologist,3120,139,445,all
data,3119,140,628,all
student,3100,141,416,all
human,3073,142,734,all
conditions,3068,143,764,all
regarding,3066,144,938,all
qualified,3057,145,539,all
meet,3028,146,799,all
record,3018,147,492,all
licensure,2997,148,334,all
business,2994,149,471,all
employee,2989,150,501,all
also,2976,151,959,all
agencies,2968,152,763,all
criteria,2965,153,591,all
evaluation,2956,154,568,all
issue,2954,155,604,all
controlled,2950,156,271,all
additional,2928,157,713,all
fee,2915,158,364,all
united,2909,159,600,all
received,2896,160,713,all
evidence,2896,160,550,all
benefits,2871,162,466,all
students,2861,163,459,all
employment,2834,164,537,all
adding,2832,165,1491,all
sections,2827,166,593,all
form,2812,167,558,all
rate,2794,168,397,all
disabilities,2783,169,614,all
offender,2774,170,153,all
needs,2770,171,769,all
appointed,2769,172,489,all
basis,2738,173,684,all
certain,2723,174,952,all
manner,2718,175,781,all
financial,2714,176,565,all
government,2711,177,824,all
property,2711,177,314,all
assistant,2711,177,255,all
developmental,2697,180,563,all
recovery,2690,181,444,all
condition,2688,182,675,all
matter,2666,183,1223,all
private,2664,184,656,all
psychiatric,2658,185,546,all
costs,2654,186,573,all
registration,2654,186,247,all
development,2652,188,650,all
experience,2651,189,558,all
assessment,2638,190,602,all
inpatient,2631,191,369,all
duties,2628,192,669,all
administrative,2622,193,562,all
submit,2604,194,837,all
licensee,2601,195,150,all
determine,2595,196,715,all
parent,2591,197,406,all
medicaid,2589,198,427,all
residential,2588,199,404,all
therapy,2573,200,325,all
council,2573,200,320,all
ensure,2571,202,892,all
minimum,2565,203,697,all
staff,2561,204,574,all
civil,2554,205,488,all
housing,2546,206,354,all
includes,2545,207,694,all
current,2543,208,663,all
administration,2539,209,598,all
respondent,2537,210,73,all
special,2535,211,520,all
reasonable,2532,212,559,all
supervision,2525,213,502,all
pay,2522,214,437,all
national,2519,215,594,all
control,2488,216,464,all
process,2487,217,645,all
either,2482,218,607,all
attorney,2479,219,346,all
amend,2478,220,1328,all
management,2475,221,560,all
policy,2474,222,527,all
prison,2469,223,73,all
educational,2458,224,622,all
per,2458,224,465,all
area,2430,226,453,all
release,2416,227,373,all
however,2405,228,623,all
adopted,2401,229,443,all
temporary,2395,230,434,all
youth,2384,231,404,all
hygiene,2384,231,466,all
status,2383,233,466,all
prescribed,2377,234,546,all
completed,2364,235,723,all
force,2353,236,286,all
permit,2344,237,278,all
need,2331,238,719,all
develop,2323,239,866,all
added,2322,240,759,all
personnel,2317,241,524,all
guardian,2313,242,325,all
prescription,2311,243,261,all
terms,2310,244,558,all
approval,2300,245,449,all
annual,2294,246,585,all
managed,2292,247,272,all
nursing,2281,248,274,all
counseling,2264,249,489,all
paid,2264,249,386,all
police,2260,251,327,all
result,2257,252,581,all
unit,2255,253,383,all
represented,2226,254,1940,all
transfer,2224,255,339,all
cause,2220,256,559,all
relation,2220,256,1114,all
group,2208,258,530,all
legal,2198,259,498,all
imposed,2196,260,334,all
funding,2187,261,524,all
activities,2173,262,564,all
direct,2169,263,502,all
every,2165,264,717,all
custody,2165,264,393,all
deemed,2163,266,588,all
sexual,2163,266,276,all
practitioner,2153,268,293,all
later,2152,269,782,all
risk,2151,270,634,all
person's,2132,271,386,all
organizations,2131,272,570,all
harm,2130,273,356,all
adopt,2125,274,635,all
pharmacy,2121,275,144,all
rates,2116,276,319,all
response,2114,277,376,all
agreement,2114,277,435,all
institution,2114,277,397,all
corporation,2112,280,263,all
place,2110,281,484,all
intervention,2109,282,500,all
consultation,2109,282,603,all
juvenile,2103,284,253,all
existing,2086,285,713,all
address,2084,286,700,all
consent,2083,287,383,all
filed,2082,288,396,all
compliance,2075,289,544,all
personal,2075,289,509,all
name,2069,291,382,all
implement,2065,292,766,all
jurisdiction,2061,293,460,all
increase,2058,294,520,all
requiring,2036,295,664,all
subparagraph,2024,296,347,all
specific,2024,296,612,all
serious,2023,298,437,all
course,2014,299,496,all
worker,2011,300,357,all
reimbursement,2009,301,459,all
cost,2009,301,485,all
determination,2009,301,473,all
percent,2006,304,301,all
iv,1995,305,587,all
concerning,1992,306,979,all
liability,1983,307,285,all
project,1978,308,230,all
medication,1971,309,337,all
income,1962,310,242,all
addition,1961,311,746,all
veterans,1958,312,292,all
interest,1954,313,455,all
resources,1953,314,725,all
patients,1952,315,443,all
psychology,1950,316,207,all
governor,1928,317,671,all
employees,1924,318,472,all
procedure,1920,319,512,all
account,1917,320,254,all
respect,1911,321,390,all
amending,1909,322,524,all
executive,1907,323,401,all
supports,1905,324,453,all
families,1872,325,633,all
continuing,1869,326,332,all
complete,1867,327,506,all
grants,1865,328,431,all
exceed,1860,329,392,all
payments,1852,330,240,all
placement,1845,331,341,all
fees,1843,332,335,all
research,1837,333,401,all
regular,1831,334,1438,all
revenue,1831,334,341,all
benefit,1829,336,385,all
covered,1827,337,335,all
extent,1821,338,582,all
party,1821,338,251,all
maintain,1819,340,599,all
due,1816,341,498,all
officers,1815,342,446,all
mandatory,1815,342,182,all
alcohol,1800,344,374,all
created,1797,345,603,all
alternative,1790,346,365,all
beginning,1789,347,455,all
initial,1788,348,412,all
guilty,1787,349,206,all
proposed,1787,349,356,all
file,1779,351,355,all
source,1776,352,617,all
regulation,1774,353,609,all
comply,1765,354,489,all
recommendations,1765,354,617,all
licensing,1763,356,333,all
policies,1762,357,559,all
meets,1761,358,456,all
credit,1760,359,237,all
products,1759,360,136,all
commitment,1754,361,263,all
total,1751,362,371,all
adult,1746,363,358,all
requirement,1740,364,476,all
impose,1738,365,285,all
professionals,1738,365,569,all
entitled,1738,365,1059,all
justice,1733,368,406,all
association,1730,369,479,all
right,1724,370,414,all
medicine,1721,371,231,all
nothing,1712,372,455,all
practices,1710,373,589,all
involved,1710,373,314,all
therapist,1706,375,227,all
admission,1702,376,350,all
representatives,1694,377,769,all
months,1691,378,520,all
reports,1690,379,520,all
submitted,1690,379,473,all
proceedings,1682,381,296,all
notify,1681,382,399,all
authorization,1677,383,336,all
rights,1677,383,455,all
determines,1673,385,498,all
sale,1672,386,212,all
requires,1665,387,648,all
regional,1662,388,324,all
copy,1658,389,428,all
employed,1657,390,421,all
primary,1654,391,425,all
team,1646,392,258,all
delivery,1645,393,460,all
possession,1644,394,228,all
secretary,1642,395,316,all
superintendent,1640,396,175,all
aid,1634,397,402,all
can,1628,398,626,all
change,1625,399,545,all
protection,1622,400,365,all
present,1619,401,450,all
university,1612,402,303,all
representative,1607,403,363,all
city,1603,404,324,all
full,1602,405,451,all
amounts,1601,406,305,all
food,1600,407,244,all
given,1597,408,532,all
sentence,1596,409,245,all
investigation,1596,409,282,all
applies,1595,411,387,all
screening,1590,412,332,all
firearms,1586,413,109,all
behavior,1585,414,405,all
referred,1583,415,1083,all
month,1583,415,291,all
similar,1577,417,424,all
employer,1573,418,217,all
good,1573,418,421,all
consistent,1572,420,519,all
responsible,1568,421,405,all
implementation,1568,421,683,all
injury,1568,421,366,all
principal,1567,424,209,all
whose,1567,424,452,all
plans,1563,426,422,all
renewal,1561,427,230,all
task,1558,428,155,all
schools,1552,429,382,all
scope,1551,430,380,all
performance,1547,431,433,all
security,1546,432,433,all
making,1538,433,594,all
body,1538,433,438,all
death,1537,435,354,all
located,1533,436,396,all
centers,1527,437,450,all
transportation,1525,438,292,all
crime,1524,439,342,all
conducted,1521,440,458,all
product,1519,441,123,all
relevant,1516,442,531,all
finds,1514,443,535,all
dental,1514,443,150,all
known,1511,445,629,all
eligibility,1503,446,375,all
marriage,1501,447,268,all
diagnosis,1500,448,484,all
serve,1497,449,540,all
participation,1494,450,421,all
level,1484,451,488,all
equivalent,1484,451,286,all
opioid,1478,453,244,all
advanced,1477,454,252,all
recipient,1475,455,261,all
counselor,1463,456,296,all
peer,1460,457,323,all
residence,1457,458,260,all
circumstances,1455,459,453,all
reporting,1453,460,446,all
patient's,1451,461,225,all
changes,1450,462,586,all
appropriation,1448,463,597,all
actions,1448,463,385,all
compensation,1445,465,387,all
schedule,1445,465,255,all
legislative,1440,467,850,all
meaning,1437,468,410,all
violence,1431,469,303,all
disease,1431,469,359,all
expenses,1430,471,409,all
hospitals,1425,472,305,all
class,1423,473,271,all
held,1422,474,400,all
restrictive,1422,474,204,all
participating,1418,476,391,all
ordered,1416,477,713,all
taken,1416,477,377,all
perform,1415,479,421,all
filing,1407,480,291,all
gender,1403,481,216,all
others,1397,482,497,all
become,1396,483,768,all
statewide,1393,484,441,all
quality,1392,485,427,all
second,1391,486,346,all
study,1390,487,401,all
insurer,1388,488,146,all
higher,1386,489,442,all
construed,1384,490,404,all
reason,1376,491,406,all
operated,1369,492,395,all
issues,1368,493,588,all
identification,1362,494,339,all
discharge,1359,495,341,all
failure,1359,495,332,all
substances,1349,497,237,all
high,1349,497,378,all
assist,1347,499,545,all
electronic,1344,500,352,all
receipt,1341,501,369,all
receives,1338,502,412,all
victim,1328,503,165,all
child's,1328,503,149,all
completion,1324,505,368,all
detention,1322,506,197,all
considered,1319,507,447,all
meeting,1316,508,347,all
awareness,1316,508,399,all
pilot,1316,508,163,all
directly,1315,511,442,all
intellectual,1314,512,168,all
company,1311,513,143,all
identified,1309,514,513,all
house,1308,515,696,all
independent,1306,516,350,all
emotional,1305,517,423,all
proceeding,1305,517,282,all
obtained,1301,519,346,all
trust,1300,520,123,all
valid,1295,521,266,all
location,1292,522,382,all
welfare,1292,522,402,all
event,1290,524,362,all
printed,1288,525,661,all
identify,1285,526,592,all
granted,1285,526,323,all
operation,1281,528,372,all
obtain,1279,529,378,all
list,1277,530,366,all
prevent,1276,531,463,all
using,1274,532,493,all
calendar,1265,533,298,all
participate,1265,533,447,all
explanation,1263,535,1144,all
annually,1262,536,454,all
repealed,1262,536,486,all
writing,1261,538,398,all
instruction,1261,538,332,all
areas,1261,538,363,all
claim,1259,541,211,all
waiver,1258,542,265,all
operating,1258,542,358,all
planning,1257,544,339,all
individual's,1253,545,318,all
contact,1251,546,373,all
adverse,1247,547,218,all
petitioner,1246,548,117,all
statement,1244,549,298,all
voluntary,1243,550,300,all
convicted,1241,551,216,all
substantial,1239,552,289,all
mean,1239,552,311,all
designee,1227,554,292,all
final,1225,555,313,all
maintenance,1224,556,347,all
conviction,1223,557,154,all
definitions,1219,558,567,all
american,1217,559,407,all
recognized,1212,560,367,all
administrator,1212,560,242,all
college,1209,562,259,all
governing,1208,563,363,all
corrections,1206,564,275,all
results,1199,565,430,all
best,1199,565,452,all
mentally,1198,567,203,all
community-based,1192,568,323,all
excess,1191,569,132,all
sex,1191,569,188,all
entities,1182,571,400,all
guidelines,1181,572,347,all
equal,1180,573,253,all
reasonably,1179,574,365,all
determining,1176,575,338,all
served,1171,576,413,all
psychological,1171,576,344,all
found,1171,576,414,all
