feature,frequency,rank,docfreq,group
court,11682.93689882208,1,730,all
person,10414.900880799367,2,1332,all
school,9295.213485522025,3,769,all
board,9192.091415591309,4,843,all
compact,8650.936815900832,5,63,all
license,8645.310910969585,6,534,all
division,8222.154100436173,7,438,all
department,8221.776819886984,8,1891,all
care,7685.576940469339,9,1626,all
practice,7397.452007333662,10,698,all
licensed,6902.133533617431,11,1082,all
tax,6570.567449653196,12,204,all
facility,6497.011902417025,13,861,all
treatment,6421.830244437032,14,1680,all
services,6393.8800767885095,15,2397,all
commission,6390.113086247709,16,606,all
cannabis,6291.758854295677,17,68,all
child,6146.940744808315,18,596,all
order,5973.87377839136,19,945,all
medical,5920.713753752971,20,1159,all
applicant,5898.196359447432,21,397,all
program,5853.8698394593375,22,1596,all
drug,5839.774166714226,23,618,all
substance,5476.0539000519575,24,1206,all
use,5244.555773575022,25,1501,all
service,4878.7437954676325,26,1142,all
fund,4808.95025937932,27,538,all
patient,4803.680981598742,28,624,all
professional,4801.346087293909,29,983,all
physician,4792.868493251222,30,607,all
firearm,4776.135416462262,31,151,all
offense,4718.613633899394,32,289,all
provider,4689.3422481412845,33,734,all
hearing,4663.942005073781,34,371,all
public,4645.436875540041,35,1731,all
education,4633.372766447701,36,1275,all
behavioral,4545.423968012301,37,852,all
agency,4432.587333668877,38,960,all
hospital,4393.097298930634,39,582,all
crisis,4327.133162231769,40,557,all
commissioner,4302.6698078524405,41,788,all
individual,4240.545502921013,42,1058,all
respondent,4232.435929087718,43,73,all
county,4207.2926558287745,44,828,all
authority,4150.2791163788625,45,656,all
prison,4118.992632604486,46,73,all
plan,4113.036282359389,47,846,all
first,4108.1237825605895,48,983,all
felony,4076.287704690483,49,236,all
certified,4049.611259423372,50,798,all
training,4037.8263801029652,51,947,all
defendant,4013.0698244436508,52,183,all
application,4002.992961757253,53,651,all
petition,3995.868252861583,54,239,all
disorder,3867.895117702185,55,951,all
clinical,3863.533706252907,56,668,all
emergency,3858.921262311645,57,787,all
involuntary,3807.365680841902,58,254,all
certificate,3796.431926945054,59,363,all
enforcement,3762.788074780624,60,640,all
addiction,3761.3540217044742,61,530,all
offender,3736.342767893354,62,153,all
coverage,3721.6331590853097,63,370,all
degree,3666.6386326449533,64,367,all
examination,3625.645122615481,65,401,all
health,3611.619725623754,66,2950,all
home,3597.0426125134954,67,468,all
mental,3594.757822862018,68,2643,all
office,3592.9967946074435,69,953,all
licensee,3525.6954848531855,70,150,all
minor,3509.8285534088677,71,264,all
insurance,3494.794635080226,72,543,all
violation,3476.7057920208176,73,351,all
records,3464.6550004197306,74,537,all
facilities,3456.4884766622667,75,647,all
