feature,phrase,frequency,rank,docfreq
substance_use_disorder,substance use disorder,3857,25,538
mental_health_services,mental health services,3306,34,709
health_care_services,health care services,1167,237,297
certified_mental_health,certified mental health,1078,268,11
use_disorder_treatment,use disorder treatment,994,321,201
substance_use_disorders,substance use disorders,946,345,267
behavioral_health_services,behavioral health services,892,376,253
health_care_provider,health care provider,870,393,192
mental_health_professional,mental health professional,843,407,252
community_mental_health,community mental health,757,456,179
mental_health_treatment,mental health treatment,742,468,221
mental_health_care,mental health care,700,516,229
health_care_professional,health care professional,651,575,125
emergency_medical_services,emergency medical services,596,643,127
less_restrictive_alternative,less restrictive alternative,584,659,30
356z_356z_356z,356z 356z 356z,549,707,8
medical_assistance_program,medical assistance program,532,751,119
clinical_social_worker,clinical social worker,526,764,172
assisted_outpatient_treatment,assisted outpatient treatment,523,775,24
health_care_providers,health care providers,505,823,232
substance_abuse_services,substance abuse services,495,841,149
united_states_department,united states department,481,874,176
licensed_mental_health,licensed mental health,474,885,130
mental_health_facility,mental health facility,468,900,130
mental_health_counseling,mental health counseling,459,920,85
behavioral_health_crisis,behavioral health crisis,452,938,58
managed_care_organization,managed care organization,452,938,81
health_care_facility,health care facility,450,944,83
addiction_services_provider,addiction services provider,448,948,14
post-traumatic_stress_disorder,post-traumatic stress disorder,436,980,157
advanced_practice_registered,advanced practice registered,428,1005,106
health_care_service,health care service,417,1032,66
mental_health_professionals,mental health professionals,411,1045,214
licensed_clinical_social,licensed clinical social,407,1056,142
behavioral_health_administrative,behavioral health administrative,407,1056,34
health_administrative_services,health administrative services,389,1105,32
serious_mental_illness,serious mental illness,378,1145,106
felony_mandatory_prison,felony mandatory prison,372,1166,7
degree_felony_mandatory,degree felony mandatory,371,1169,7
mental_health_crisis,mental health crisis,368,1183,118
mental_health_counselor,mental health counselor,366,1194,88
managed_care_organizations,managed care organizations,356,1230,98
practice_registered_nurse,practice registered nurse,354,1237,98
restrictive_alternative_treatment,restrictive alternative treatment,334,1329,16
substance_abuse_treatment,substance abuse treatment,326,1380,132
health_planning_council,health planning council,321,1410,27
health_benefit_plan,health benefit plan,319,1426,53
local_mental_health,local mental health,316,1447,106
mentally_ill_person,mentally ill person,314,1459,21
registered_nurse_practitioner,registered nurse practitioner,300,1541,41
nursing_home_care,nursing home care,299,1548,48
behavioral_health_treatment,behavioral health treatment,297,1560,60
advanced_registered_nurse,advanced registered nurse,296,1566,30
compound_mixture_preparation,compound mixture preparation,286,1637,8
mandatory_continuing_education,mandatory continuing education,284,1654,24
disorder_treatment_program,disorder treatment program,283,1659,43
crisis_intervention_team,crisis intervention team,282,1667,24
mental_health_service,mental health service,277,1706,97
community_addiction_services,community addiction services,277,1706,14
psychology_regulatory_authority,psychology regulatory authority,272,1758,12
registered_professional_nurse,registered professional nurse,268,1806,37
mental_emotional_nervous,mental emotional nervous,268,1806,14
alcohol_drug_addiction,alcohol drug addiction,268,1806,20
care_service_plan,care service plan,267,1814,31
psychology_interjurisdictional_compact,psychology interjurisdictional compact,265,1831,21
community_behavioral_health,community behavioral health,262,1857,58
mental_health_conditions,mental health conditions,261,1865,141
inpatient_mental_health,inpatient mental health,259,1886,64
involuntary_outpatient_services,involuntary outpatient services,258,1899,13
practice_interjurisdictional_telepsychology,practice interjurisdictional telepsychology,256,1925,12
behavioral_health_care,behavioral health care,254,1938,96
use_disorder_services,use disorder services,249,2001,111
firearms_restraining_order,firearms restraining order,247,2020,8
administrative_services_organization,administrative services organization,246,2026,26
clinical_social_work,clinical social work,245,2039,58
substance_addiction_services,substance addiction services,244,2044,5
behavioral_health_agency,behavioral health agency,243,2054,34
direct_care_staff,direct care staff,238,2099,33
medicaid_managed_care,medicaid managed care,237,2116,89
controlled_substance_analog,controlled substance analog,236,2123,16
general_revenue_fund,general revenue fund,235,2138,136
children's_mental_health,children's mental health,233,2165,37
secure_withdrawal_management,secure withdrawal management,232,2177,15
firearm_owner's_identification,firearm owner's identification,231,2189,20
mental_health_screening,mental health screening,228,2224,42
mental_health_disorder,mental health disorder,227,2238,81
equivalent_excess_coverage,equivalent excess coverage,226,2248,8
key_vote_majority,key vote majority,225,2264,225
vote_majority_appropriation,vote majority appropriation,225,2264,225
whoever_violates_division,whoever violates division,221,2314,11
sexual_orientation_gender,sexual orientation gender,219,2351,29
orientation_gender_identity,orientation gender identity,218,2360,25
mental_health_awareness,mental health awareness,218,2360,79
managed_care_plan,managed care plan,217,2376,60
involuntary_treatment_services,involuntary treatment services,216,2394,9
health_care_professionals,health care professionals,215,2413,109
physical_therapist_assistant,physical therapist assistant,215,2413,21
owner's_identification_card,owner's identification card,214,2434,19
special_revenue_fund,special revenue fund,213,2445,9
mental_health_issues,mental health issues,209,2504,130
national_suicide_prevention,national suicide prevention,205,2563,65
licensed_professional_counselor,licensed professional counselor,205,2563,47
mental_health_condition,mental health condition,204,2578,96
per_hour_wage,per hour wage,204,2578,14
prescription_monitoring_program,prescription monitoring program,201,2634,13
behavioral_health_disorder,behavioral health disorder,200,2654,19
intervention_team_training,intervention team training,200,2654,20
serious_physical_harm,serious physical harm,199,2674,51
united_states_food,united states food,198,2691,70
federally_qualified_health,federally qualified health,197,2707,57
maternal_mental_health,maternal mental health,196,2723,41
race_creed_color,race creed color,196,2723,12
mental_health_court,mental health court,193,2788,27
health_maintenance_organization,health maintenance organization,192,2815,56
criminal_justice_services,criminal justice services,192,2815,48
behavioral_health_service,behavioral health service,191,2842,43
student_mental_health,student mental health,190,2860,70
hour_wage_increase,hour wage increase,190,2860,14
tangible_personal_property,tangible personal property,189,2874,17
recovery_support_services,recovery support services,188,2891,55
high_school_equivalency,high school equivalency,188,2891,11
mental_health_authority,mental health authority,188,2891,62
excess_insurance_coverage,excess insurance coverage,188,2891,8
county_mental_health,county mental health,185,2955,64
residential_care_facility,residential care facility,183,3001,26
immediately_explanation_matter,immediately explanation matter,182,3026,182
mental_health_program,mental health program,181,3044,62
outpatient_mental_health,outpatient mental health,181,3044,51
involuntary_inpatient_placement,involuntary inpatient placement,181,3044,18
suicide_prevention_lifeline,suicide prevention lifeline,180,3071,58
retailers_occupation_tax,retailers occupation tax,179,3103,12
health_care_facilities,health care facilities,175,3188,48
human_services_commission,human services commission,174,3215,89
intermediate_care_facilities,intermediate care facilities,173,3239,19
mental_health_disorders,mental health disorders,170,3300,91
service_occupation_tax,service occupation tax,169,3324,8
outpatient_competency_restoration,outpatient competency restoration,169,3324,7
use_disorder_professional,use disorder professional,168,3356,32
automated_patient_dispensing,automated patient dispensing,168,3356,8
good_moral_character,good moral character,167,3382,27
circuit_court_clerk,circuit court clerk,167,3382,13
services_addiction_services,services addiction services,166,3406,29
emergency_mental_health,emergency mental health,164,3455,17
substance_abuse_addiction,substance abuse addiction,163,3477,48
miscellaneous_special_revenue,miscellaneous special revenue,163,3477,9
skilled_nursing_facilities,skilled nursing facilities,162,3505,23
peer_support_services,peer support services,162,3505,56
physician_physician_assistant,physician physician assistant,161,3533,35
2021–2022_regular_session,2021–2022 regular session,160,3556,160
mental_health_response,mental health response,160,3556,10
court-ordered_mental_health,court-ordered mental health,160,3556,21
social_worker_licensed,social worker licensed,159,3590,70
health_crisis_response,health crisis response,159,3590,19
health_care_plan,health care plan,159,3590,23
color_national_origin,color national origin,159,3590,13
serious_bodily_harm,serious bodily harm,157,3648,48
medication_assisted_treatment,medication assisted treatment,157,3648,48
abuse_services_addiction,abuse services addiction,156,3673,23
local_educational_agency,local educational agency,155,3702,28
outpatient_behavioral_health,outpatient behavioral health,155,3702,18
emergency_medical_service,emergency medical service,154,3733,23
high_school_diploma,high school diploma,154,3733,28
certified_behavioral_health,certified behavioral health,154,3733,25
behavioral_health_providers,behavioral health providers,153,3776,60
health_insurance_coverage,health insurance coverage,153,3776,46
health_crisis_services,health crisis services,152,3804,26
second_degree_felony,second degree felony,152,3804,7
crisis_stabilization_unit,crisis stabilization unit,151,3836,41
county_behavioral_health,county behavioral health,149,3915,33
crisis_response_services,crisis response services,149,3915,31
behavioral_health_workforce,behavioral health workforce,148,3949,26
mobile_crisis_response,mobile crisis response,148,3949,37
creed_color_national,creed color national,148,3949,6
home_care_services,home care services,148,3949,12
temporary_restraining_order,temporary restraining order,146,4012,8
professional_medical_conduct,professional medical conduct,146,4012,12
mental_health_needs,mental health needs,144,4085,82
administrative_services_organizations,administrative services organizations,144,4085,29
good_cause_shown,good cause shown,143,4117,51
licensed_health_care,licensed health care,142,4151,63
licensed_practical_nurse,licensed practical nurse,142,4151,42
service_use_tax,service use tax,142,4151,8
certified_recovery_residence,certified recovery residence,141,4185,13
commercial_driver's_license,commercial driver's license,141,4185,10
context_clearly_indicates,context clearly indicates,140,4211,112
health_care_authority,health care authority,140,4211,46
graduate_medical_education,graduate medical education,139,4241,24
health_care_practitioner,health care practitioner,139,4241,45
certified_nurse_practitioner,certified nurse practitioner,138,4266,21
intellectual_disability_services,intellectual disability services,138,4266,9
yes_local_program,yes local program,137,4314,137
health_service_provider,health service provider,137,4314,28
fiscal_committee_yes,fiscal committee yes,136,4352,136
committee_yes_local,committee yes local,136,4352,136
pharmacy_benefit_manager,pharmacy benefit manager,136,4352,14
clinical_professional_counselor,clinical professional counselor,136,4352,32
psychiatric_advanced_registered,psychiatric advanced registered,136,4352,10
behavioral_health_emergency,behavioral health emergency,135,4395,14
school_social_workers,school social workers,134,4431,46
governor_kathy_hochul,governor kathy hochul,134,4431,47
liquid_concentrate_liquid,liquid concentrate liquid,134,4431,7
concentrate_liquid_extract,concentrate liquid extract,134,4431,7
liquid_distillate_form,liquid distillate form,134,4431,7
human_services_division,human services division,133,4474,39
american_psychiatric_association,american psychiatric association,132,4525,77
physician_clinical_psychologist,physician clinical psychologist,132,4525,26
certified_home_health,certified home health,132,4525,8
mental_health_parity,mental health parity,131,4570,29
health_counselor_marriage,health counselor marriage,130,4618,26
teaching_general_hospital,teaching general hospital,130,4618,6
mental_health_providers,mental health providers,128,4695,93
qualified_mental_health,qualified mental health,128,4695,55
licensed_health_professional,licensed health professional,128,4695,8
mental_health_substance,mental health substance,127,4751,78
disorder_treatment_services,disorder treatment services,127,4751,52
community_control_sanction,community control sanction,127,4751,12
crisis_intervention_services,crisis intervention services,126,4790,46
durable_medical_equipment,durable medical equipment,126,4790,34
commission_employment_duties,commission employment duties,125,4823,23
health_services_provider,health services provider,125,4823,26
use_disorder_benefits,use disorder benefits,125,4823,25
firearm_owners_identification,firearm owners identification,125,4823,29
legislative_reference_bureau,legislative reference bureau,125,4823,115
general_acute_care,general acute care,123,4925,23
mental_health_plan,mental health plan,123,4925,29
continuing_education_requirement,continuing education requirement,123,4925,20
emergency_medical_technician,emergency medical technician,123,4925,38
school_social_worker,school social worker,123,4925,46
applied_behavior_analysis,applied behavior analysis,122,4966,21
residential_health_care,residential health care,122,4966,18
military_status_sex,military status sex,122,4966,6
clinical_nurse_specialist,clinical nurse specialist,121,5024,33
home_health_care,home health care,121,5024,26
mental_health_facilities,mental health facilities,120,5081,58
licensed_service_provider,licensed service provider,118,5188,20
services_mental_health,services mental health,118,5188,38
owners_identification_card,owners identification card,118,5188,29
behavioral_health_disorders,behavioral health disorders,117,5253,40
prima_facie_evidence,prima facie evidence,117,5253,30
health_care_administration,health care administration,116,5312,51
behavioral_health_system,behavioral health system,115,5370,43
primary_care_providers,primary care providers,115,5370,58
medical_services_council,medical services council,115,5370,15
2023–2024_regular_session,2023–2024 regular session,114,5422,114
youth_mental_health,youth mental health,114,5422,31
drug_therapy_management,drug therapy management,114,5422,14
care_services_agency,care services agency,114,5422,6
managed_care_plans,managed care plans,113,5476,43
community-based_mental_health,community-based mental health,113,5476,81
mental_health_board,mental health board,113,5476,22
mental_health_center,mental health center,113,5476,40
health_care_agent,health care agent,113,5476,8
health_care_reform,health care reform,113,5476,11
mental_health_programs,mental health programs,112,5536,70
school_mental_health,school mental health,112,5536,39
health_treatment_facility,health treatment facility,112,5536,24
licensed_home_care,licensed home care,112,5536,6
mental_health_consultation,mental health consultation,111,5597,8
interjurisdictional_compact_commission,interjurisdictional compact commission,111,5597,16
residential_treatment_facility,residential treatment facility,111,5597,24
professional_educator_license,professional educator license,111,5597,8
health_crisis_hotline,health crisis hotline,110,5658,31
competency_restoration_program,competency restoration program,110,5658,6
resource_management_services,resource management services,110,5658,16
criminal_background_check,criminal background check,109,5742,44
criminal_history_record,criminal history record,109,5742,44
specialty_mental_health,specialty mental health,108,5810,17
mental_health_evaluation,mental health evaluation,108,5810,32
school-based_mental_health,school-based mental health,108,5810,35
preferred_drug_list,preferred drug list,108,5810,22
psychiatric_nurse_practitioner,psychiatric nurse practitioner,108,5810,20
group_health_benefit,group health benefit,108,5810,17
licensed_physical_therapist,licensed physical therapist,108,5810,12
health_response_unit,health response unit,108,5810,6
major_drug_offender,major drug offender,108,5810,8
qualified_health_center,qualified health center,107,5874,39
post-traumatic_stress_injury,post-traumatic stress injury,107,5874,19
loan_repayment_program,loan repayment program,107,5874,19
extreme_risk_protection,extreme risk protection,107,5874,12
chief_clinical_officer,chief clinical officer,107,5874,5
indian_health_care,indian health care,107,5874,14
substance_use_prevention,substance use prevention,106,5949,46
publicly_accessible_internet,publicly accessible internet,105,6024,53
public_health_service,public health service,105,6024,56
criminal_justice_system,criminal justice system,104,6102,63
licensed_clinical_psychologist,licensed clinical psychologist,104,6102,35
developmental_disabilities_administrative,developmental disabilities administrative,104,6102,41
direct_support_professionals,direct support professionals,104,6102,18
labor_statistics_average,labor statistics average,104,6102,12
